user_id,name,address,phone_number
1,全身脱毛サロン恋肌　長崎店,長崎県長崎市万屋町6-40 Vivacity 観光通り2F,095-821-0118
1,脱毛サロンSTLASSH　福岡天神店,福岡県福岡市中央区大名２丁目１−５７ Ｃ・Ｓビル 5階,092-406-6575
1,福岡天神店メンズセルフ脱毛サロンMr.,福岡県福岡市中央区大名１丁目１−７ GEST22ビル 4F,092-781-2333
1,エステティックTBC　天神店,福岡県福岡市中央区天神２丁目４−１１ パシフィーク天神 2F,092-722-2411
1,全身脱毛サロン恋肌　福岡天神店,福岡県福岡市中央区大名１丁目１２−４９ バルビゾン 102 4F,092-405-7873
1,全身脱毛サロン　キレイモ　福岡天神店,福岡県福岡市中央区大名２丁目１−５３ BPRスクエア天神大名2F,0120-444-680
1,エルムクリニック京都院,	
京都府京都市下京区寺町通四条下る貞安前之町５９４岡本鏡店ビル４F,075-353-1854
1,ゴリラクリニック 京都烏丸院,京都府京都市中京区七観音町６３７ インターワンプレイス烏丸ビル３Ｆ,0120-987-118
1,愛島クリニック,沖縄県石垣市真栄里１０８－７,0980-88-1212
1,札幌さくらビューティークリニック 旭川院,	
北海道旭川市１条通６-78-1 クリスタルビル4階,0166-85-7676
1,さっぽろ美容クリニック 大通院,北海道札幌市中央区南１条西７－１２－５　大通パークサイドビル５Ｆ,011-204-6066
1,松原皮ふ科・形成外科,東京都目黒区自由が丘３－１０－６,03-5726-8122
1,シロノクリニック 銀座,東京都中央区銀座2-2-2ヒューリック西銀座ビル4F,0120-997-474
1,中島皮フ科,東京都北区赤羽２－２３－２　１Ｆ,03-3598-2823
1,ゴリラクリニック 池袋院,東京都豊島区東池袋１－３０－６　セイコーサンシャインビル１２　７Ｆ,0120-987-118
1,秋葉原中央クリニック,東京都千代田区神田佐久間町２－２０番地　翔和秋葉原ビル２Ｆ,0120-119-877
1,東京中央美容外科 新宿東口院,東京都新宿区歌舞伎町１―２７―５歌舞伎町ＡＰＭビル７Ｆ,0120-814-971
1,高須クリニック 東京院,東京都港区赤坂２-１４-２７ 国際新赤坂ビル東館１２F,0120-558-725
1,エミナルクリニック 川崎院,神奈川県川崎市川崎区砂子２－６－２　三恵ビル　８Ｆ,エミナルクリニック 川崎院
1,ジェニークリニック 横浜院,神奈川県横浜市西区北幸１丁目１－８ エキニア横浜ビル７Ｆ,0120-774-224
1,渋谷美容外科クリニック 横浜院,神奈川県横浜市西区南幸２－１１－１　横浜ＭＳビル７Ｆ,0120-154-282
1,あらおクリニック,神奈川県横浜市青葉区しらとり台１―７　ヴァンテアン１Ｆ,045-983-4116
1,横浜マリアクリニック,神奈川県横浜市西区高島２－１９－２横浜神谷ビル４Ｆ,0120-851-929
1,えいご皮フ科 四日市院,三重県三重郡菰野町潤田１１８７－４,059-391-0363
1,広島中央クリニック,広島県広島市中区銀山町１－１１フジスカイビル５Ｆ,0120-088-430
1,ドーズ美容外科 長崎院,長崎県長崎市浜町８－１１　ＹＴビル４Ｆ,095-818-5510
1,鹿児島三井中央クリニック,	
鹿児島県鹿児島市山下町9－１チャイムズビル６Ｆ,0120-077-614
